Subject,Course Catalog Nbr,Course ID,Class Nbr,Acad Career,Acad Group,Course Descr,FCEF,GFC Hours,Acad Org,Requisite,Enroll Type,Class Assoc,Component,Class Section,Term,Session,Crse Topic ID,Topic Description,Class Notes,Instruction Mode,Class Status,Mtg Nbr,Start Date,End Date,Class Start,Class End,Duration,Meeting Pattern,Alt Week,MON,TUES,WED,THURS,FRI,SAT,SUN,Location,Facility,Room Size,Enroll Stat,Enroll Tot,Enroll Cap,Waitlist Cap,Class Assoc Req,Reserved Cap,Consent,Combined Section,Instructor Name and Role,Crse Units
ACWR,201,161118,71613,UGRD,AR,Introductory Acad Writing I,H,3-1T,CMF,,E,1,LEC,1,2187,1,0,,,P,X,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,0,30,5,Y,,N,,,1.5
ACWR,201,161118,73458,UGRD,AR,Introductory Acad Writing I,H,3-1T,CMF,,N,1,TUT,T01,2187,1,0,,,P,X,0,,,,,0,TBA,,,,,,,,,MAIN,,0,C,0,30,5,Y,,N,,,
ACWR,203,161127,76309,UGRD,AR,Introductory Acad Writing II,H,3-1T,CMF,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,12:00,14:45,165,W  12:00-14:45,,N,N,Y,N,N,N,N,MAIN,ST 063,32,O,18,30,5,Y,,N,,"Papin,Paul(PI)",1.5
ACWR,203,161127,76310,UGRD,AR,Introductory Acad Writing II,H,3-1T,CMF,,N,1,TUT,T01,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,12:30,13:20,50,T  12:30-13:20,,N,Y,N,N,N,N,N,MAIN,EDC 264,30,O,18,30,5,Y,,N,,"Papin,Paul(PI)",
ACWR,203,161127,11646,UGRD,AR,Introductory Acad Writing II,H,3-1T,CMF,,E,1,LEC,1,2191,1,0,,,P,X,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,0,30,5,Y,,N,,,1.5
ACWR,203,161127,13278,UGRD,AR,Introductory Acad Writing II,H,3-1T,CMF,,N,1,TUT,T01,2191,1,0,,,P,X,0,,,,,0,TBA,,,,,,,,,MAIN,,0,C,0,30,5,Y,,N,,,
ACWR,303,100109,11434,UGRD,AR,Intermediate Academic Writing,H,3-0,CMF,,E,1,LEC,1,2191,1,0,,,WW,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,WEB-BASED,1000,C,90,90,8,Y,,N,,"Andre,Jo-Anne Darlene(PI)",3
ACWR,303,100109,12438,UGRD,AR,Intermediate Academic Writing,H,3-0,CMF,,E,2,LEC,2,2191,1,0,,,WW,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,WEB-BASED,1000,C,100,100,8,Y,,N,,"Andre,Jo-Anne Darlene(PI)",3
AFST,301,100122,70206,UGRD,AR,Intro to African Studies,H,3-0,ANAR,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,14:00,16:45,165,R  14:00-16:45,,N,N,N,Y,N,N,N,MAIN,ST 132,85,O,75,85,6,,,N,,"Apentiik,Rowland Anyebadek(PI)",3
ALMC,202,162732,72543,UGRD,AR,Beginners Arabic I,H,4-0,LLLC,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,9:00,9:50,50,MWRF  09:00-09:50,,Y,N,Y,Y,Y,N,N,MAIN,CHE 118,38,O,22,34,20,,Y,D,,"Tovmasyan,Hasmik(PI)",3
ALMC,202,162732,72675,UGRD,AR,Beginners Arabic I,H,4-0,LLLC,,E,2,LEC,2,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,14:00,14:50,50,MWRF  14:00-14:50,,Y,N,Y,Y,Y,N,N,MAIN,CHC 110,35,O,33,34,20,,Y,D,,"Friedman,Rachel(PI)",3
ALMC,317,162735,72544,UGRD,AR,Muslim Civilization I,H,3-0,LLLC,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,11:00,12:15,75,TR  11:00-12:15,,N,Y,N,Y,N,N,N,MAIN,ST 139,80,O,74,75,20,,,N,,"Asatryan,Mushegh(PI)",3
ALMC,319,163541,75530,UGRD,AR,Muslim Civilization II,H,3-0,LLLC,,E,1,LEC,1,2187,1,2,Islam and Revolution,,P,A,1,06-Sep-2018,07-Dec-2018,12:30,13:45,75,TR  12:30-13:45,,N,Y,N,Y,N,N,N,MAIN,ST 139,80,O,61,75,20,,,N,,"Asatryan,Mushegh(PI)",3
ALMC,319,163541,76170,UGRD,AR,Muslim Civilization II,H,3-0,LLLC,,E,2,LEC,2,2187,1,1,Islam and Fundamentalism,,IS,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,N,,"Asatryan,Mushegh(PI)",3
ALMC,359,162763,76492,UGRD,AR,Literature of Muslim Societies,H,3-0,LLLC,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,14:00,15:15,75,TR  14:00-15:15,,N,Y,N,Y,N,N,N,MAIN,CHE 114,38,O,23,25,0,,,N,,"Mohaghegh Neyshabouri,Safaneh(PI)",3
ANTH,203,100324,70207,UGRD,AR,IntroductionSocialAnthropology,H,3-0,ANAR,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,9:30,10:45,75,TR  09:30-10:45,,N,Y,N,Y,N,N,N,MAIN,ENC 70,262,O,247,248,0,,Y,N,,"Hayashi,Naotaka(PI)",3
ANTH,203,100324,71046,UGRD,AR,IntroductionSocialAnthropology,H,3-0,ANAR,,E,1,LEC,2,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,12:30,13:45,75,TR  12:30-13:45,,N,Y,N,Y,N,N,N,MAIN,CHC 119,244,C,240,240,0,,Y,N,,"Mather,Charles Maurice(PI)",3
ANTH,203,100324,11011,UGRD,AR,IntroductionSocialAnthropology,H,3-0,ANAR,,E,1,LEC,1,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,9:30,10:45,75,TR  09:30-10:45,,N,Y,N,Y,N,N,N,MAIN,ST 140,413,O,386,400,0,,Y,N,,"Holdsworth,Christopher John(PI)",3
ANTH,203,100324,11465,UGRD,AR,IntroductionSocialAnthropology,H,3-0,ANAR,,E,1,LEC,2,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,12:00,12:50,50,MWF  12:00-12:50,,Y,N,Y,N,Y,N,N,MAIN,MFH 162,398,C,350,350,0,,Y,N,,"Hayashi,Naotaka(PI)",3
ANTH,303,100338,71048,UGRD,AR,Business in Cultural Context,H,3-0,ANAR,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,18:00,20:50,170,T  18:00-20:50,,N,Y,N,N,N,N,N,MAIN,ST 140,413,O,396,400,7,,,N,,"Holdsworth,Christopher John(PI)",3
ANTH,311,100344,71012,UGRD,AR,Primate Behaviour,H,3-0,ANAR,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,11:00,12:15,75,TR  11:00-12:15,,N,Y,N,Y,N,N,N,MAIN,ENC 70,262,O,260,262,0,,,N,,"Pavelka,Mary Susan McDonald(PI)",3
ANTH,311,100344,72003,UGRD,AR,Primate Behaviour,H,3-0,ANAR,,E,1,LEC,2,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,18:00,20:50,170,R  18:00-20:50,,N,N,N,Y,N,N,N,MAIN,KNB 132,250,O,172,200,0,,,N,,"Melin,Amanda Dawn(PI)",3
ANTH,311,100344,10848,UGRD,AR,Primate Behaviour,H,3-0,ANAR,,E,1,LEC,1,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,14:00,15:15,75,MW  14:00-15:15,,Y,N,Y,N,N,N,N,MAIN,KNB 132,250,O,228,250,0,,,N,,"Larter,Luke Cullen(PI)",3
ANTH,311,100344,13940,UGRD,AR,Primate Behaviour,H,3-0,ANAR,,E,1,LEC,2,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,18:00,20:45,165,M  18:00-20:45,,Y,N,N,N,N,N,N,MAIN,ST 135,168,O,163,167,0,,,N,,"Saj,Tania L(PI)",3
ANTH,331,100361,71836,UGRD,AR,Sex and Gender,H,3-0,ANAR,,E,1,LEC,1,2187,1,0,,,P,X,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,0,330,0,,,N,,,3
ANTH,331,100361,11644,UGRD,AR,Sex and Gender,H,3-0,ANAR,,E,1,LEC,1,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,12:00,12:50,50,MWF  12:00-12:50,,Y,N,Y,N,Y,N,N,MAIN,KNB 132,250,C,225,225,0,,,N,,"Saj,Tania L(PI)",3
ANTH,400,163891,76598,UGRD,AR,Independent Study,H,0-3T,ANAR,,E,1,TUT,T01,2187,1,2,Microwear,,IS,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,"Cote,Susanne Meredith(PI)",3
ANTH,400,163891,76823,UGRD,AR,Independent Study,H,0-3T,ANAR,,E,2,TUT,T02,2187,1,3,Fundamentalism & Modern Islam,,IS,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,"Peric,Sabrina(PI)",3
ANTH,400,163891,16362,UGRD,AR,Independent Study,H,0-3T,ANAR,,E,1,TUT,T01,2191,1,4,Anthropology of Oaxaca,,IS,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,,3
ANTH,400,163891,16487,UGRD,AR,Independent Study,H,0-3T,ANAR,,E,2,TUT,T02,2191,1,5,Thesis Preparation,,IS,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,"Melin,Amanda Dawn(PI)",3
ANTH,400,163891,16574,UGRD,AR,Independent Study,H,0-3T,ANAR,,E,3,TUT,T03,2191,1,6,Ethnic Nationalities,,IS,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,"Holdsworth,Christopher John(PI)",3
